State,County,Metal Level,Issuer Name,Plan ID (standard component),Plan Marketing Name,Plan Type,Premium Child,Standard Plan Cost Sharing,Medical Deductible-individual-standard,Medical Deductible-family-standard,Medical Maximum Out Of Pocket - individual - standard
NM,COLFAX,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0330006,Blue PPO Bronze 006,PPO, 121.49 ,,"6,000","12,700","6,000"
NM,COLFAX,Catastrophic,Blue Cross Blue Shield of New Mexico,75605NM0330010,Blue Security PPO 010,PPO, 121.88 ,,"6,350","12,700","6,350"
NM,COLFAX,Gold,Blue Cross Blue Shield of New Mexico,75605NM0350001,"BCBS Premier 1, MSP 1,000/2,750",PPO, 185.96 ,,"1,000","3,000","2,750"
NM,COLFAX,Gold,Blue Cross Blue Shield of New Mexico,75605NM0350002,"BCBS Premier 2, MSP 500/4,000",PPO, 183.92 ,,500,"1,500","4,000"
NM,COLFAX,Silver,Blue Cross Blue Shield of New Mexico,75605NM0350003,"BCBS Solution 3, MSP 4,500/6,350",PPO, 150.90 ,,"4,500","12,700","6,350"
NM,COLFAX,Silver,Blue Cross Blue Shield of New Mexico,75605NM0350004,"BCBS Solution 4, MSP 6,250/6,250",PPO, 146.84 ,,"6,250","12,700","6,250"
NM,COLFAX,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0350005,"BCBS Basic 5, MSP 3,750/6,250",PPO, 125.08 ,,"3,750","11,250","6,250"
NM,COLFAX,Gold,Blue Cross Blue Shield of New Mexico,75605NM0390001,Blue Community Gold HMO 001,HMO, 156.60 ,,"3,250","9,750","3,250"
NM,COLFAX,Gold,Blue Cross Blue Shield of New Mexico,75605NM0390002,Blue Community Gold HMO 002,HMO, 159.52 ,,"1,500","4,500","3,500"
NM,COLFAX,Silver,Blue Cross Blue Shield of New Mexico,75605NM0390003,Blue Community Silver HMO 003,HMO, 129.86 ,,"6,000","12,700","6,000"
NM,COLFAX,Silver,Blue Cross Blue Shield of New Mexico,75605NM0390004,Blue Community Silver HMO 004,HMO, 133.89 ,,"3,000","9,000","6,350"
NM,COLFAX,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0390005,Blue Community Bronze HMO 005,HMO, 106.56 ,,"5,000","12,700","6,250"
NM,COLFAX,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0390006,Blue Community Bronze HMO 006,HMO, 106.12 ,,"6,000","12,700","6,000"
NM,COLFAX,Gold,New Mexico Health Connections,93091NM0010001,Care Connect Gold 750 HMO,HMO, 138.87 ,,750,"1,500","6,000"
NM,COLFAX,Silver,New Mexico Health Connections,93091NM0010002,"Care Connect Silver 2,000 HMO",HMO, 132.07 ,,"2,000","4,000","6,350"
NM,COLFAX,Bronze,New Mexico Health Connections,93091NM0010006,Care Connect Bronze HMO,HMO, 98.05 ,,"2,500","5,000","6,350"
NM,COLFAX,Catastrophic,New Mexico Health Connections,93091NM0010007,Care Connect Catastrophic HMO,HMO, 87.23 ,,"6,350","12,700","6,350"
NM,COLFAX,Gold,New Mexico Health Connections,93091NM0030001,Choice Connect Gold  500 PPO,PPO, 163.21 ,,500,"1,000","5,000"
NM,COLFAX,Silver,New Mexico Health Connections,93091NM0030002,"Choice Connect Silver 2,000 PPO",PPO, 146.20 ,,"2,000","4,000","6,350"
NM,CURRY,Gold,"Molina Health Care of New Mexico, Inc.",19722NM0010001,Molina Marketplace Gold Plan,HMO, 161.42 ,,250,500,"6,350"
NM,CURRY,Silver,"Molina Health Care of New Mexico, Inc.",19722NM0010002,Molina Marketplace Silver Plan,HMO, 143.80 ,,"1,700","3,400","6,350"
NM,CURRY,Bronze,"Molina Health Care of New Mexico, Inc.",19722NM0010003,Molina Marketplace Bronze Plan,HMO, 126.50 ,,"4,000","8,000","6,350"
NM,CURRY,Gold,Presbyterian Health Plan,57173NM0120001,Individual Gold Plan A,HMO, 173.49 ,,0,0,"6,350"
NM,CURRY,Gold,Presbyterian Health Plan,57173NM0120002,Individual Gold Plan B,HMO, 182.59 ,,250,500,"6,350"
NM,CURRY,Gold,Presbyterian Health Plan,57173NM0120003,Individual Gold Plan C,HMO, 171.14 ,,"1,000","2,000","6,350"
NM,CURRY,Silver,Presbyterian Health Plan,57173NM0130001,Individual Silver Plan A,HMO, 148.07 ,,250,500,"6,350"
NM,CURRY,Silver,Presbyterian Health Plan,57173NM0130005,Individual Silver Plan B,HMO, 149.84 ,,"1,300","2,600","6,350"
NM,CURRY,Silver,Presbyterian Health Plan,57173NM0130009,Individual Silver Plan C,HMO, 140.29 ,,"2,500","5,000","6,350"
NM,CURRY,Silver,Presbyterian Health Plan,57173NM0130013,Individual Silver Plan D,HMO, 131.47 ,,"5,000","10,000","6,350"
NM,CURRY,Bronze,Presbyterian Health Plan,57173NM0140001,Individual Bronze Plan A,HMO, 118.40 ,,"2,500","5,000","6,350"
NM,CURRY,Bronze,Presbyterian Health Plan,57173NM0140002,Individual Bronze Plan B,HMO, 117.52 ,,"4,000","8,000","6,350"
NM,CURRY,Bronze,Presbyterian Health Plan,57173NM0140003,Individual Bronze Plan C,HMO, 111.50 ,,"6,350","12,700","6,350"
NM,CURRY,Catastrophic,Presbyterian Health Plan,57173NM0150001,Individual Catastrophic Plan,HMO, 79.91 ,,"6,350","12,700","6,350"
NM,CURRY,Gold,Blue Cross Blue Shield of New Mexico,75605NM0330001,Blue PPO Gold 001,PPO, 178.04 ,,"3,250","9,750","3,250"
NM,CURRY,Gold,Blue Cross Blue Shield of New Mexico,75605NM0330002,Blue PPO Gold 002,PPO, 180.78 ,,"1,500","4,500","3,500"
NM,CURRY,Silver,Blue Cross Blue Shield of New Mexico,75605NM0330003,Blue PPO Silver 003,PPO, 150.10 ,,"6,000","12,700","6,000"
NM,CURRY,Silver,Blue Cross Blue Shield of New Mexico,75605NM0330004,Blue PPO Silver 004,PPO, 153.94 ,,"3,000","9,000","6,350"
NM,CURRY,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0330005,Blue PPO Bronze 005,PPO, 122.20 ,,"5,000","12,700","6,250"
NM,CURRY,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0330006,Blue PPO Bronze 006,PPO, 121.49 ,,"6,000","12,700","6,000"
NM,CURRY,Catastrophic,Blue Cross Blue Shield of New Mexico,75605NM0330010,Blue Security PPO 010,PPO, 121.88 ,,"6,350","12,700","6,350"
NM,CURRY,Gold,Blue Cross Blue Shield of New Mexico,75605NM0350001,"BCBS Premier 1, MSP 1,000/2,750",PPO, 185.96 ,,"1,000","3,000","2,750"
NM,CURRY,Gold,Blue Cross Blue Shield of New Mexico,75605NM0350002,"BCBS Premier 2, MSP 500/4,000",PPO, 183.92 ,,500,"1,500","4,000"
NM,CURRY,Silver,Blue Cross Blue Shield of New Mexico,75605NM0350003,"BCBS Solution 3, MSP 4,500/6,350",PPO, 150.90 ,,"4,500","12,700","6,350"
NM,CURRY,Silver,Blue Cross Blue Shield of New Mexico,75605NM0350004,"BCBS Solution 4, MSP 6,250/6,250",PPO, 146.84 ,,"6,250","12,700","6,250"
NM,CURRY,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0350005,"BCBS Basic 5, MSP 3,750/6,250",PPO, 125.08 ,,"3,750","11,250","6,250"
NM,CURRY,Gold,Blue Cross Blue Shield of New Mexico,75605NM0390001,Blue Community Gold HMO 001,HMO, 156.60 ,,"3,250","9,750","3,250"
NM,CURRY,Gold,Blue Cross Blue Shield of New Mexico,75605NM0390002,Blue Community Gold HMO 002,HMO, 159.52 ,,"1,500","4,500","3,500"
NM,CURRY,Silver,Blue Cross Blue Shield of New Mexico,75605NM0390003,Blue Community Silver HMO 003,HMO, 129.86 ,,"6,000","12,700","6,000"
NM,CURRY,Silver,Blue Cross Blue Shield of New Mexico,75605NM0390004,Blue Community Silver HMO 004,HMO, 133.89 ,,"3,000","9,000","6,350"
NM,CURRY,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0390005,Blue Community Bronze HMO 005,HMO, 106.56 ,,"5,000","12,700","6,250"
NM,CURRY,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0390006,Blue Community Bronze HMO 006,HMO, 106.12 ,,"6,000","12,700","6,000"
NM,CURRY,Gold,New Mexico Health Connections,93091NM0010001,Care Connect Gold 750 HMO,HMO, 138.87 ,,750,"1,500","6,000"
NM,CURRY,Silver,New Mexico Health Connections,93091NM0010002,"Care Connect Silver 2,000 HMO",HMO, 132.07 ,,"2,000","4,000","6,350"
NM,CURRY,Bronze,New Mexico Health Connections,93091NM0010006,Care Connect Bronze HMO,HMO, 98.05 ,,"2,500","5,000","6,350"
NM,CURRY,Catastrophic,New Mexico Health Connections,93091NM0010007,Care Connect Catastrophic HMO,HMO, 87.23 ,,"6,350","12,700","6,350"
NM,CURRY,Gold,New Mexico Health Connections,93091NM0030001,Choice Connect Gold  500 PPO,PPO, 163.21 ,,500,"1,000","5,000"
NM,CURRY,Silver,New Mexico Health Connections,93091NM0030002,"Choice Connect Silver 2,000 PPO",PPO, 146.20 ,,"2,000","4,000","6,350"
NM,DE BACA,Gold,"Molina Health Care of New Mexico, Inc.",19722NM0010001,Molina Marketplace Gold Plan,HMO, 161.42 ,,250,500,"6,350"
NM,DE BACA,Silver,"Molina Health Care of New Mexico, Inc.",19722NM0010002,Molina Marketplace Silver Plan,HMO, 143.80 ,,"1,700","3,400","6,350"
NM,DE BACA,Bronze,"Molina Health Care of New Mexico, Inc.",19722NM0010003,Molina Marketplace Bronze Plan,HMO, 126.50 ,,"4,000","8,000","6,350"
NM,DE BACA,Gold,Presbyterian Health Plan,57173NM0120001,Individual Gold Plan A,HMO, 173.49 ,,0,0,"6,350"
NM,DE BACA,Gold,Presbyterian Health Plan,57173NM0120002,Individual Gold Plan B,HMO, 182.59 ,,250,500,"6,350"
NM,DE BACA,Gold,Presbyterian Health Plan,57173NM0120003,Individual Gold Plan C,HMO, 171.14 ,,"1,000","2,000","6,350"
NM,DE BACA,Silver,Presbyterian Health Plan,57173NM0130001,Individual Silver Plan A,HMO, 148.07 ,,250,500,"6,350"
NM,DE BACA,Silver,Presbyterian Health Plan,57173NM0130005,Individual Silver Plan B,HMO, 149.84 ,,"1,300","2,600","6,350"
NM,DE BACA,Silver,Presbyterian Health Plan,57173NM0130009,Individual Silver Plan C,HMO, 140.29 ,,"2,500","5,000","6,350"
NM,DE BACA,Silver,Presbyterian Health Plan,57173NM0130013,Individual Silver Plan D,HMO, 131.47 ,,"5,000","10,000","6,350"
NM,DE BACA,Bronze,Presbyterian Health Plan,57173NM0140001,Individual Bronze Plan A,HMO, 118.40 ,,"2,500","5,000","6,350"
NM,DE BACA,Bronze,Presbyterian Health Plan,57173NM0140002,Individual Bronze Plan B,HMO, 117.52 ,,"4,000","8,000","6,350"
NM,DE BACA,Bronze,Presbyterian Health Plan,57173NM0140003,Individual Bronze Plan C,HMO, 111.50 ,,"6,350","12,700","6,350"
NM,DE BACA,Catastrophic,Presbyterian Health Plan,57173NM0150001,Individual Catastrophic Plan,HMO, 79.91 ,,"6,350","12,700","6,350"
NM,DE BACA,Gold,Blue Cross Blue Shield of New Mexico,75605NM0330001,Blue PPO Gold 001,PPO, 178.04 ,,"3,250","9,750","3,250"
NM,DE BACA,Gold,Blue Cross Blue Shield of New Mexico,75605NM0330002,Blue PPO Gold 002,PPO, 180.78 ,,"1,500","4,500","3,500"
NM,DE BACA,Silver,Blue Cross Blue Shield of New Mexico,75605NM0330003,Blue PPO Silver 003,PPO, 150.10 ,,"6,000","12,700","6,000"
NM,DE BACA,Silver,Blue Cross Blue Shield of New Mexico,75605NM0330004,Blue PPO Silver 004,PPO, 153.94 ,,"3,000","9,000","6,350"
NM,DE BACA,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0330005,Blue PPO Bronze 005,PPO, 122.20 ,,"5,000","12,700","6,250"
NM,DE BACA,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0330006,Blue PPO Bronze 006,PPO, 121.49 ,,"6,000","12,700","6,000"
NM,DE BACA,Catastrophic,Blue Cross Blue Shield of New Mexico,75605NM0330010,Blue Security PPO 010,PPO, 121.88 ,,"6,350","12,700","6,350"
NM,DE BACA,Gold,Blue Cross Blue Shield of New Mexico,75605NM0350001,"BCBS Premier 1, MSP 1,000/2,750",PPO, 185.96 ,,"1,000","3,000","2,750"
NM,DE BACA,Gold,Blue Cross Blue Shield of New Mexico,75605NM0350002,"BCBS Premier 2, MSP 500/4,000",PPO, 183.92 ,,500,"1,500","4,000"
NM,DE BACA,Silver,Blue Cross Blue Shield of New Mexico,75605NM0350003,"BCBS Solution 3, MSP 4,500/6,350",PPO, 150.90 ,,"4,500","12,700","6,350"
NM,DE BACA,Silver,Blue Cross Blue Shield of New Mexico,75605NM0350004,"BCBS Solution 4, MSP 6,250/6,250",PPO, 146.84 ,,"6,250","12,700","6,250"
NM,DE BACA,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0350005,"BCBS Basic 5, MSP 3,750/6,250",PPO, 125.08 ,,"3,750","11,250","6,250"
NM,DE BACA,Gold,Blue Cross Blue Shield of New Mexico,75605NM0390001,Blue Community Gold HMO 001,HMO, 156.60 ,,"3,250","9,750","3,250"
NM,DE BACA,Gold,Blue Cross Blue Shield of New Mexico,75605NM0390002,Blue Community Gold HMO 002,HMO, 159.52 ,,"1,500","4,500","3,500"
NM,DE BACA,Silver,Blue Cross Blue Shield of New Mexico,75605NM0390003,Blue Community Silver HMO 003,HMO, 129.86 ,,"6,000","12,700","6,000"
NM,DE BACA,Silver,Blue Cross Blue Shield of New Mexico,75605NM0390004,Blue Community Silver HMO 004,HMO, 133.89 ,,"3,000","9,000","6,350"
NM,DE BACA,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0390005,Blue Community Bronze HMO 005,HMO, 106.56 ,,"5,000","12,700","6,250"
NM,DE BACA,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0390006,Blue Community Bronze HMO 006,HMO, 106.12 ,,"6,000","12,700","6,000"
NM,DE BACA,Gold,New Mexico Health Connections,93091NM0010001,Care Connect Gold 750 HMO,HMO, 138.87 ,,750,"1,500","6,000"
NM,DE BACA,Silver,New Mexico Health Connections,93091NM0010002,"Care Connect Silver 2,000 HMO",HMO, 132.07 ,,"2,000","4,000","6,350"
NM,DE BACA,Bronze,New Mexico Health Connections,93091NM0010006,Care Connect Bronze HMO,HMO, 98.05 ,,"2,500","5,000","6,350"
NM,DE BACA,Catastrophic,New Mexico Health Connections,93091NM0010007,Care Connect Catastrophic HMO,HMO, 87.23 ,,"6,350","12,700","6,350"
NM,DE BACA,Gold,New Mexico Health Connections,93091NM0030001,Choice Connect Gold  500 PPO,PPO, 163.21 ,,500,"1,000","5,000"
NM,DE BACA,Silver,New Mexico Health Connections,93091NM0030002,"Choice Connect Silver 2,000 PPO",PPO, 146.20 ,,"2,000","4,000","6,350"
NM,DONA ANA,Gold,"Molina Health Care of New Mexico, Inc.",19722NM0010001,Molina Marketplace Gold Plan,HMO, 161.42 ,,250,500,"6,350"
NM,DONA ANA,Silver,"Molina Health Care of New Mexico, Inc.",19722NM0010002,Molina Marketplace Silver Plan,HMO, 143.80 ,,"1,700","3,400","6,350"
NM,DONA ANA,Bronze,"Molina Health Care of New Mexico, Inc.",19722NM0010003,Molina Marketplace Bronze Plan,HMO, 126.50 ,,"4,000","8,000","6,350"
NM,DONA ANA,Gold,Presbyterian Health Plan,57173NM0120001,Individual Gold Plan A,HMO, 166.26 ,,0,0,"6,350"
NM,DONA ANA,Gold,Presbyterian Health Plan,57173NM0120002,Individual Gold Plan B,HMO, 174.99 ,,250,500,"6,350"
NM,DONA ANA,Gold,Presbyterian Health Plan,57173NM0120003,Individual Gold Plan C,HMO, 164.01 ,,"1,000","2,000","6,350"
NM,DONA ANA,Silver,Presbyterian Health Plan,57173NM0130001,Individual Silver Plan A,HMO, 141.90 ,,250,500,"6,350"
NM,DONA ANA,Silver,Presbyterian Health Plan,57173NM0130005,Individual Silver Plan B,HMO, 143.59 ,,"1,300","2,600","6,350"
NM,DONA ANA,Silver,Presbyterian Health Plan,57173NM0130009,Individual Silver Plan C,HMO, 134.44 ,,"2,500","5,000","6,350"
NM,DONA ANA,Silver,Presbyterian Health Plan,57173NM0130013,Individual Silver Plan D,HMO, 126.00 ,,"5,000","10,000","6,350"
NM,DONA ANA,Bronze,Presbyterian Health Plan,57173NM0140001,Individual Bronze Plan A,HMO, 113.47 ,,"2,500","5,000","6,350"
NM,DONA ANA,Bronze,Presbyterian Health Plan,57173NM0140002,Individual Bronze Plan B,HMO, 112.62 ,,"4,000","8,000","6,350"
NM,DONA ANA,Bronze,Presbyterian Health Plan,57173NM0140003,Individual Bronze Plan C,HMO, 106.85 ,,"6,350","12,700","6,350"
NM,DONA ANA,Catastrophic,Presbyterian Health Plan,57173NM0150001,Individual Catastrophic Plan,HMO, 76.58 ,,"6,350","12,700","6,350"
NM,DONA ANA,Gold,Blue Cross Blue Shield of New Mexico,75605NM0330001,Blue PPO Gold 001,PPO, 161.69 ,,"3,250","9,750","3,250"
NM,DONA ANA,Gold,Blue Cross Blue Shield of New Mexico,75605NM0330002,Blue PPO Gold 002,PPO, 164.17 ,,"1,500","4,500","3,500"
NM,DONA ANA,Silver,Blue Cross Blue Shield of New Mexico,75605NM0330003,Blue PPO Silver 003,PPO, 136.32 ,,"6,000","12,700","6,000"
NM,DONA ANA,Silver,Blue Cross Blue Shield of New Mexico,75605NM0330004,Blue PPO Silver 004,PPO, 139.80 ,,"3,000","9,000","6,350"
NM,DONA ANA,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0330005,Blue PPO Bronze 005,PPO, 110.98 ,,"5,000","12,700","6,250"
NM,DONA ANA,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0330006,Blue PPO Bronze 006,PPO, 110.33 ,,"6,000","12,700","6,000"
NM,DONA ANA,Catastrophic,Blue Cross Blue Shield of New Mexico,75605NM0330010,Blue Security PPO 010,PPO, 110.68 ,,"6,350","12,700","6,350"
NM,DONA ANA,Gold,Blue Cross Blue Shield of New Mexico,75605NM0350001,"BCBS Premier 1, MSP 1,000/2,750",PPO, 168.89 ,,"1,000","3,000","2,750"
NM,DONA ANA,Gold,Blue Cross Blue Shield of New Mexico,75605NM0350002,"BCBS Premier 2, MSP 500/4,000",PPO, 167.03 ,,500,"1,500","4,000"
NM,DONA ANA,Silver,Blue Cross Blue Shield of New Mexico,75605NM0350003,"BCBS Solution 3, MSP 4,500/6,350",PPO, 137.04 ,,"4,500","12,700","6,350"
NM,DONA ANA,Silver,Blue Cross Blue Shield of New Mexico,75605NM0350004,"BCBS Solution 4, MSP 6,250/6,250",PPO, 133.36 ,,"6,250","12,700","6,250"
NM,DONA ANA,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0350005,"BCBS Basic 5, MSP 3,750/6,250",PPO, 113.59 ,,"3,750","11,250","6,250"
NM,DONA ANA,Gold,Blue Cross Blue Shield of New Mexico,75605NM0390001,Blue Community Gold HMO 001,HMO, 145.64 ,,"3,250","9,750","3,250"
NM,DONA ANA,Gold,Blue Cross Blue Shield of New Mexico,75605NM0390002,Blue Community Gold HMO 002,HMO, 148.36 ,,"1,500","4,500","3,500"
NM,DONA ANA,Silver,Blue Cross Blue Shield of New Mexico,75605NM0390003,Blue Community Silver HMO 003,HMO, 120.78 ,,"6,000","12,700","6,000"
NM,DONA ANA,Silver,Blue Cross Blue Shield of New Mexico,75605NM0390004,Blue Community Silver HMO 004,HMO, 124.52 ,,"3,000","9,000","6,350"
NM,DONA ANA,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0390005,Blue Community Bronze HMO 005,HMO, 99.11 ,,"5,000","12,700","6,250"
NM,DONA ANA,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0390006,Blue Community Bronze HMO 006,HMO, 98.69 ,,"6,000","12,700","6,000"
NM,DONA ANA,Gold,New Mexico Health Connections,93091NM0010001,Care Connect Gold 750 HMO,HMO, 118.66 ,,750,"1,500","6,000"
NM,DONA ANA,Silver,New Mexico Health Connections,93091NM0010002,"Care Connect Silver 2,000 HMO",HMO, 112.85 ,,"2,000","4,000","6,350"
NM,DONA ANA,Bronze,New Mexico Health Connections,93091NM0010006,Care Connect Bronze HMO,HMO, 83.78 ,,"2,500","5,000","6,350"
NM,DONA ANA,Catastrophic,New Mexico Health Connections,93091NM0010007,Care Connect Catastrophic HMO,HMO, 74.54 ,,"6,350","12,700","6,350"
NM,DONA ANA,Gold,New Mexico Health Connections,93091NM0030001,Choice Connect Gold  500 PPO,PPO, 139.46 ,,500,"1,000","5,000"
NM,DONA ANA,Silver,New Mexico Health Connections,93091NM0030002,"Choice Connect Silver 2,000 PPO",PPO, 124.92 ,,"2,000","4,000","6,350"
NM,EDDY,Gold,"Molina Health Care of New Mexico, Inc.",19722NM0010001,Molina Marketplace Gold Plan,HMO, 161.42 ,,250,500,"6,350"
NM,EDDY,Silver,"Molina Health Care of New Mexico, Inc.",19722NM0010002,Molina Marketplace Silver Plan,HMO, 143.80 ,,"1,700","3,400","6,350"
NM,EDDY,Bronze,"Molina Health Care of New Mexico, Inc.",19722NM0010003,Molina Marketplace Bronze Plan,HMO, 126.50 ,,"4,000","8,000","6,350"
NM,EDDY,Gold,Presbyterian Health Plan,57173NM0120001,Individual Gold Plan A,HMO, 173.49 ,,0,0,"6,350"
NM,EDDY,Gold,Presbyterian Health Plan,57173NM0120002,Individual Gold Plan B,HMO, 182.59 ,,250,500,"6,350"
NM,EDDY,Gold,Presbyterian Health Plan,57173NM0120003,Individual Gold Plan C,HMO, 171.14 ,,"1,000","2,000","6,350"
NM,EDDY,Silver,Presbyterian Health Plan,57173NM0130001,Individual Silver Plan A,HMO, 148.07 ,,250,500,"6,350"
NM,EDDY,Silver,Presbyterian Health Plan,57173NM0130005,Individual Silver Plan B,HMO, 149.84 ,,"1,300","2,600","6,350"
NM,EDDY,Silver,Presbyterian Health Plan,57173NM0130009,Individual Silver Plan C,HMO, 140.29 ,,"2,500","5,000","6,350"
NM,EDDY,Silver,Presbyterian Health Plan,57173NM0130013,Individual Silver Plan D,HMO, 131.47 ,,"5,000","10,000","6,350"
NM,EDDY,Bronze,Presbyterian Health Plan,57173NM0140001,Individual Bronze Plan A,HMO, 118.40 ,,"2,500","5,000","6,350"
NM,EDDY,Bronze,Presbyterian Health Plan,57173NM0140002,Individual Bronze Plan B,HMO, 117.52 ,,"4,000","8,000","6,350"
NM,EDDY,Bronze,Presbyterian Health Plan,57173NM0140003,Individual Bronze Plan C,HMO, 111.50 ,,"6,350","12,700","6,350"
NM,EDDY,Catastrophic,Presbyterian Health Plan,57173NM0150001,Individual Catastrophic Plan,HMO, 79.91 ,,"6,350","12,700","6,350"
NM,EDDY,Gold,Blue Cross Blue Shield of New Mexico,75605NM0330001,Blue PPO Gold 001,PPO, 178.04 ,,"3,250","9,750","3,250"
NM,EDDY,Gold,Blue Cross Blue Shield of New Mexico,75605NM0330002,Blue PPO Gold 002,PPO, 180.78 ,,"1,500","4,500","3,500"
NM,EDDY,Silver,Blue Cross Blue Shield of New Mexico,75605NM0330003,Blue PPO Silver 003,PPO, 150.10 ,,"6,000","12,700","6,000"
NM,EDDY,Silver,Blue Cross Blue Shield of New Mexico,75605NM0330004,Blue PPO Silver 004,PPO, 153.94 ,,"3,000","9,000","6,350"
NM,EDDY,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0330005,Blue PPO Bronze 005,PPO, 122.20 ,,"5,000","12,700","6,250"
NM,EDDY,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0330006,Blue PPO Bronze 006,PPO, 121.49 ,,"6,000","12,700","6,000"
NM,EDDY,Catastrophic,Blue Cross Blue Shield of New Mexico,75605NM0330010,Blue Security PPO 010,PPO, 121.88 ,,"6,350","12,700","6,350"
NM,EDDY,Gold,Blue Cross Blue Shield of New Mexico,75605NM0350001,"BCBS Premier 1, MSP 1,000/2,750",PPO, 185.96 ,,"1,000","3,000","2,750"
NM,EDDY,Gold,Blue Cross Blue Shield of New Mexico,75605NM0350002,"BCBS Premier 2, MSP 500/4,000",PPO, 183.92 ,,500,"1,500","4,000"
NM,EDDY,Silver,Blue Cross Blue Shield of New Mexico,75605NM0350003,"BCBS Solution 3, MSP 4,500/6,350",PPO, 150.90 ,,"4,500","12,700","6,350"
NM,EDDY,Silver,Blue Cross Blue Shield of New Mexico,75605NM0350004,"BCBS Solution 4, MSP 6,250/6,250",PPO, 146.84 ,,"6,250","12,700","6,250"
NM,EDDY,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0350005,"BCBS Basic 5, MSP 3,750/6,250",PPO, 125.08 ,,"3,750","11,250","6,250"
NM,EDDY,Gold,Blue Cross Blue Shield of New Mexico,75605NM0390001,Blue Community Gold HMO 001,HMO, 156.60 ,,"3,250","9,750","3,250"
NM,EDDY,Gold,Blue Cross Blue Shield of New Mexico,75605NM0390002,Blue Community Gold HMO 002,HMO, 159.52 ,,"1,500","4,500","3,500"
NM,EDDY,Silver,Blue Cross Blue Shield of New Mexico,75605NM0390003,Blue Community Silver HMO 003,HMO, 129.86 ,,"6,000","12,700","6,000"
NM,EDDY,Silver,Blue Cross Blue Shield of New Mexico,75605NM0390004,Blue Community Silver HMO 004,HMO, 133.89 ,,"3,000","9,000","6,350"
NM,EDDY,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0390005,Blue Community Bronze HMO 005,HMO, 106.56 ,,"5,000","12,700","6,250"
NM,EDDY,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0390006,Blue Community Bronze HMO 006,HMO, 106.12 ,,"6,000","12,700","6,000"
NM,EDDY,Gold,New Mexico Health Connections,93091NM0010001,Care Connect Gold 750 HMO,HMO, 138.87 ,,750,"1,500","6,000"
NM,EDDY,Silver,New Mexico Health Connections,93091NM0010002,"Care Connect Silver 2,000 HMO",HMO, 132.07 ,,"2,000","4,000","6,350"
NM,EDDY,Bronze,New Mexico Health Connections,93091NM0010006,Care Connect Bronze HMO,HMO, 98.05 ,,"2,500","5,000","6,350"
NM,EDDY,Catastrophic,New Mexico Health Connections,93091NM0010007,Care Connect Catastrophic HMO,HMO, 87.23 ,,"6,350","12,700","6,350"
NM,EDDY,Gold,New Mexico Health Connections,93091NM0030001,Choice Connect Gold  500 PPO,PPO, 163.21 ,,500,"1,000","5,000"
NM,EDDY,Silver,New Mexico Health Connections,93091NM0030002,"Choice Connect Silver 2,000 PPO",PPO, 146.20 ,,"2,000","4,000","6,350"
NM,GRANT,Gold,"Molina Health Care of New Mexico, Inc.",19722NM0010001,Molina Marketplace Gold Plan,HMO, 161.42 ,,250,500,"6,350"
NM,GRANT,Silver,"Molina Health Care of New Mexico, Inc.",19722NM0010002,Molina Marketplace Silver Plan,HMO, 143.80 ,,"1,700","3,400","6,350"
NM,GRANT,Bronze,"Molina Health Care of New Mexico, Inc.",19722NM0010003,Molina Marketplace Bronze Plan,HMO, 126.50 ,,"4,000","8,000","6,350"
NM,GRANT,Gold,Presbyterian Health Plan,57173NM0120001,Individual Gold Plan A,HMO, 173.49 ,,0,0,"6,350"
NM,GRANT,Gold,Presbyterian Health Plan,57173NM0120002,Individual Gold Plan B,HMO, 182.59 ,,250,500,"6,350"
NM,GRANT,Gold,Presbyterian Health Plan,57173NM0120003,Individual Gold Plan C,HMO, 171.14 ,,"1,000","2,000","6,350"
NM,GRANT,Silver,Presbyterian Health Plan,57173NM0130001,Individual Silver Plan A,HMO, 148.07 ,,250,500,"6,350"
NM,GRANT,Silver,Presbyterian Health Plan,57173NM0130005,Individual Silver Plan B,HMO, 149.84 ,,"1,300","2,600","6,350"
NM,GRANT,Silver,Presbyterian Health Plan,57173NM0130009,Individual Silver Plan C,HMO, 140.29 ,,"2,500","5,000","6,350"
